term,value,context,context value,level
turkey,pavo,,,simple
turkey-cock,pavo-gallo,,,normal
unicorn beetle,escarabajo unicornio,,,hard
viper,víbora,,,hard
vobla,vobla,,,normal
vulture,buitre,,,normal
wagtail,lavandera,,,hard
walrus,morsa,,,hard
wasp,avispa,,,normal
water strider,zancuda acuática,,,hard
weasel,comadreja,,,normal
weather loach misgurnus,locha del tiempo misgurnus,,,hard
whale,ballena,,,simple
white bear,oso blanco,,,normal
white cabbage butterfly,mariposa blanca de la col,,,hard
white partridge,perdiz blanca,,,hard
white rat,rata blanca,,,hard
wild boar,jabalí,,,simple
wolf,lobo,,,simple
wood louse,piojo de bosque,,,hard
wood-grouse,urogallo,,,normal
woodcock,becada,,,hard
woodpecker,pájaro carpintero,,,normal
worm,gusano,,,simple
wryneck,torcecuello,,,normal
yak,yak,,,normal
zander pike-perch,lucioperca lucioperca,,,hard
zebra,cebra,,,simple
zygaenidae,zygaenidae,,,hard
