term,value
parsley,parsley
tansy,tansy
peony,peony
silver fir,silver fir
weeping willow,weeping willow
club moss,club moss
ivy,ivy
brown cap boletus,brown cap boletus
plantain,plantain
orange cap boletus,orange cap boletus
snowdrop,snowdrop
sunflower,sunflower
wormwood,wormwood
tomato,tomato
purslane,purslane
bovista,bovista
bluebell,bluebell
millet,millet
pasqueflower,pasqueflower
bladder-wort,bladder-wort
cotton grass,cotton grass
wheat,wheat
couch grass,couch grass
broom,broom
rhubarb,rhubarb
summer-and-winter radish,summer-and-winter radish
bur,bur
rice,rice
reed mace,reed mace
caucasian rhododendron,caucasian rhododendron
rye,rye
rose,rose
camomile,camomile
dew plant,dew plant
saffron milk cap,saffron milk cap
mountain ash,mountain ash
duckweed,duckweed
saxaul,saxaul
box tree,box tree
satan’s mushroom,satan’s mushroom
sugar beet,sugar beet
sugar cane,sugar cane
beet,beet
dogwood,dogwood
bermuda grass,bermuda grass
celery,celery
seed,seed
lilac,lilac
scabies,scabies
plum,plum
viscaria vulgaris,viscaria vulgaris
currant,currant
movel,movel
licorice,licorice
sorgo,sorgo
pine,pine
soy,soy
spathiphyllum,spathiphyllum
sagitaria,sagitaria
bittercress,bittercress
sphagnum,sphagnum
russule,russule
stratiotes-lat,stratiotes-lat
blackthorn,blackthorn
sloe,sloe
herd’s grass,herd’s grass
fescue grass,fescue grass
yew,yew
caraway,caraway
poplar,poplar
mulberry,mulberry
milfoil,milfoil
pumpkin,pumpkin
tulip,tulip
fennel,fennel
haricot,haricot
violet,violet
equisetum,equisetum
cotton plant,cotton plant
chlorophytum,chlorophytum
hop,hop
radish,radish
horse radish,horse radish
chrysanthemum,chrysanthemum
persimmon,persimmon
sage,sage
champignon field,champignon field
briar,briar
cone,cone
dock,dock
hellebore,hellebore
wild leek,wild leek
bird cherry,bird cherry
garlic,garlic
lentil,lentil
celandine,celandine
eucalyptus,eucalyptus
apple,apple
apple tree,apple tree
ash tree,ash tree
woodruff,woodruff
orchis,orchis
barley,barley
