term,value,context,context value,level
grave digger,хуæдмæлхуар хъæбуза,,,hard
unicorn beetle,сиукъафий хъæбуза,,,hard
stag beetle,хъæбуза-саг,,,hard
crane,хъуррой,,,normal
demoiselle crane,рæсугъд хъуррой,,,hard
hare,тæрхъос,,,simple
blue hare,уорс тæрхъос,,,normal
zebra,зебрæ,,,simple
shrew,зæнхкъахæг,,,normal
lacewings,бæгъетцæстæ,,,hard
snake,хелагæ,,,simple
goldfish,сугъзæрийнæ кæсалгæ,,,normal
auroch bison,донмæй,,,normal
finch,метметгæнагæ,,,normal
oriole,борцъеу,,,hard
turkey,гогуз,,,simple
turkey-cock,нæл гогуз,,,normal
caucasian black grouse,кавказаг саугарк,,,hard
branta,казаркæ,,,hard
cockatoo,устур тотий,,,normal
squid,кальмар,,,normal
flounder,камбæлæ,,,normal
canary,канарейкæ,,,normal
buzzard,сарыч,,,hard
white cabbage butterfly,къабусгахуар,,,hard
black widow,каракурт,,,normal
crucian,карась,,,normal
carp,карп,,,normal
red ramshorn snail,катушкитæ,,,normal
spotted nutcracker,сибийраг халон,,,hard
kangaroo,кенгуру,,,simple
whale,гайа,,,simple
crossbill,дзиуаркъæбот,,,normal
acarid,гæбу,,,normal
bug tell-tale,гъæдисистæ-салдат,,,normal
chough,клушицæ,,,hard
cobra,кобрæ,,,normal
red-footed falcon,кобчик,,,hard
mare,æфсæ,,,hard
goat,сæгъæ,,,normal
kid,дæркъæ,,,normal
nightjar,сæгъдоцæг,,,hard
humming-bird,колибри,,,normal
mosquito,саскъæ,,,simple
pipit,конёк,,,normal
cow,гъог,,,simple
bark beetle,цъархуар,,,hard
kinglet,нæзий цъеу,,,hard
corn crake,цъæх мæга,,,hard
steppe fox,корсак,,,hard
kite,хъæрццигъа,,,hard
roe deer,рæубес,,,simple
cat,тикис,,,simple
fur seal,котик,,,normal
crab,краб,,,simple
small tortoiseshell,хæмпæли гæбæло,,,hard
giildenstadt’s redstart,сурхгубун горихвосткæ,,,hard
forest caterpillar hunter,æсмаггæнагæ хъæбуза,,,hard
shrimp,креветкитæ,,,normal
merlin arctic falcon,лацин,,,normal
crocodile,кæфхъундар,,,simple
rabbit,хæдзайрон тæрхъос,,,simple
mole,хъæрæу гæлæу,,,normal
fruit-bat,крылан,,,hard
rat,гæлæу,,,simple
mallard quack,гъæддаг бабуз,,,hard
grasshopper,цъæрæхснæг,,,hard
cuckoo,гæггог,,,normal
onager,кулан,,,normal
sandspiper,дони уæрццæ,,,hard
marten,сæлаур,,,hard
hen,карк,,,simple
partridge,хургарк,,,normal
lama,ламæ,,,normal
doe,хъуаз,,,normal
weasel,тæхсæл,,,normal
swallow,зæрбатуг,,,simple
swan,донихъаз,,,normal
lion,домбай,,,simple
lemming,лемминг,,,normal
leopard,леопард,,,normal
bat,хæлинбиттир,,,simple
fox,робас,,,simple
salmon,лæсæг,,,hard
elk,цæгаттаг саг,,,hard
horse,бæх,,,simple
pied bushchat,игуæрдæни цигкæнæг,,,hard
harrier,лунь,,,hard
lioness,силæ домбай,,,normal
frog,хæпсæ,,,simple
paradise fish,макропод,,,hard
mammoth,мамонт,,,normal
swallowtail,махаон,,,normal
mole-cricket,дзæхæрахуар,,,normal
bear,арс,,,simple
jellyfish,медузæ,,,normal
platyfish,меченосец,,,hard
centipede,берæкъах золкъæ,,,normal
wood louse,гъосхелагæ,,,hard
moth,румпæг,,,simple
walrus,морж,,,hard
guinea-pig,денгизи хъибил,,,hard
(sea) scallops,денгизи «сæрвасæнтæ»,,,hard
starfish,денгизи стъалутæ,,,hard
sea-horse,денгизон бæхтæ,,,hard
mule,хъадир,,,hard
ant,мулдзуг,,,simple
anteater,мулдзугхуар,,,simple
fly,биндзæ,,,simple
fly-catcher,биндзхуар,,,normal
mouse,мистæ,,,simple
mink,норкæ,,,normal
rhinoceros,сиукъафий,,,normal
monkey,маймули,,,simple
common ruffe,хумæтæги ёрш,,,hard
gadfly,галбиндзæ,,,hard
sheep,фус,,,simple
ruddy shelduck,сурх бабуз,,,hard
perch,окун,,,hard
female deer,саг,,,simple
orangoutan,орангутанг,,,normal
eagle,цæргæс,,,normal
wasp,дидинбиндзæ,,,normal
donkey,хæрæг,,,simple
burro baby-ass,къæлæу,,,simple
octopus,æсткъахуг,,,normal
peacock,мæлгъæ,,,normal
panda,пандæ,,,normal
spider,хæлаур,,,simple
common shelduck,пеганкæ,,,hard
pelican,пеликан,,,normal
marbled polecat,перевязкæ,,,hard
quail,уæрццæ,,,normal
margaritana,перловицæ,,,hard
polar fox,цæгатаг робас,,,hard
zygaenidae,пестрянкæ,,,hard
cock,уасæнгæ,,,simple
penguin,пингвин,,,simple
python,питон,,,hard
pika,пищухæ,,,hard
bloodsucker,гъонцъир,,,hard
phiclides podalirius,подалири,,,hard
arvicolinae,хуми мистæ,,,normal
nuthatch,гъæддон цъеу,,,hard
parrot,тотий,,,simple
piglet,хъибил,,,simple
limnaeidae pond-snails,цадонтæ,,,hard
puma,пумæ,,,normal
snow bunting,пуночкæ,,,hard
kestrel,пустельгитæ,,,hard
bee,мудибиндзæ,,,simple
crawfish,мудзбур,,,hard
pink starling,рохснæгхуз саумæлгъæ,,,hard
fish,кæсалгæ,,,simple
lynx,стай,,,normal
hazel hen,дзугъгургарк,,,hard
ciprinus carpio carp,сазан,,,hard
saiga,сайгак,,,hard
locust,саринцха,,,hard
sardine,сардинæ,,,hard
cricket,цъæрцъæрагæ,,,hard
glowworm,æрттевæг хъæндел,,,hard
pig,ху,,,simple
northern deer,цæгаттаг саг,,,hard
stellate sturgeon,севрюгæ,,,hard
herring,сельд,,,hard
chamois,сикъе,,,normal
titmouse,дзубулдар,,,normal
scalare,скаляри,,,hard
batoidea,скат,,,normal
starling,саумæлгъæ,,,normal
scorpion,къæдздумæг,,,normal
skunk,скунс,,,normal
horsefly,хъæрæубиндзæ,,,hard
slug,æнæхъозгъæ моллюск,,,hard
elephant,пил,,,simple
bullfinch,сурхбун,,,hard
dog,куй,,,simple
sable,сибийраг сæлаур,,,hard
owl,уг,,,simple
jay,сойкæ,,,hard
falcon,уарий,,,normal
nightingale,борæмæлгъæ,,,normal
catfish,локо,,,hard
magpie,хъеу-хъеуагæ,,,hard
pine moth,нæзий циллебийæг,,,hard
steppe viper,будуйрон гадюкæ,,,hard
ostrich,страус,,,simple
dragonfly,туасæг,,,hard
little bustard,стрепет,,,hard
sand martin,къима,,,hard
zander pike-perch,судак,,,hard
marmot,зæнхи æхсæрсæттæг,,,hard
gopher,гъолон гæлæу,,,hard
horned owl,сидахъ,,,normal
cockroach,таракан,,,normal
tarantula,тарантул,,,normal
roach,тъаран,,,normal
telescopus,телескоп,,,hard
calf,уæс,,,hard
heifer,хъунадзин,,,hard
termite,термит,,,normal
blackcock,саугарк,,,normal
tiger,тигр,,,simple
aphid,зайæгойти систæ,,,normal
bankcod,треска,,,hard
eft,тритон,,,hard
wagtail,борхъæстæ дзубулдар,,,hard
toucan,тукан,,,hard
capra,дзæбодур,,,simple
jerboa,тушкан,,,normal
seal,тюлен,,,normal
grig,донхелагæ,,,normal
anaconda,æлвасхелагæ,,,normal
hoopoe,гоппой,,,normal
snowcock,зумаргъ,,,normal
snail,гъонцъæ,,,normal
duck,бабуз,,,simple
duckbill,бабузфий,,,simple
the long-eared bat,гъосой,,,hard
phrynocephalus mystaceus,тумбулсæр гъосой,,,hard
pheasant,синдзи уасæнгæ,,,hard
eagle owl,тоймон,,,hard
flamingo,фламинго,,,normal
trout,балир силгæ,,,normal
chameleon,хамелеон,,,normal
hamster,къода гæлæу,,,hard
corydalis,хохлаткæ,,,hard
heron,кæсалглас,,,normal
pearl-hen,цецур,,,normal
poult,цъеу,,,simple
gull,кæсалгдзау,,,hard
worm,золкъæ,,,simple
tortoise,уæртгун хæпсæ,,,simple
lapwing,чибис,,,hard
jackal,шакал,,,normal
bumblebee,гъæддаг мудибиндзæ,,,normal
puppy,къæбис,,,simple
gloydius,щитомордник,,,hard
pike,хехуар,,,hard
lamb,уæр,,,hard
jaguar,ягуар,,,normal
yak,як,,,normal
hawk,цъеусор,,,normal
lizard,æнкъуæлхæ,,,hard
