term,value,context,context value,level
sage,арæнгæрдæг,,,normal
sagitaria,фатсыф,,,hard
satan’s mushroom,сайтан-зокъо,,,normal
saxaul,саксаул,,,hard
saxifrage,камнеломкæ,,,hard
scabies,къубалæг,,,hard
sea-buckthorn,кæркмисындзæг,,,normal
sedge,дзала,,,normal
seed,æхсынæн,,,simple
shamrock,туагсыф,,,hard
shrimp,строчок,,,hard
silver fir,соцъи бæлас,,,normal
sloe,какон,,,normal
smooth elm-tree,хъарман,,,normal
snowdrop,малусæг,,,simple
sorgo,цъылинаг,,,normal
soy,сойæ,,,normal
spathiphyllum,спатифилум,,,hard
spatter-dock,дурынгæрдæг,,,normal
sphagnum,сфагнум,,,hard
spruce,наз,,,simple
spurge,æхсыргæрдæг,,,hard
stone bramble,сыхсы,,,hard
stonecrop,очиток,,,hard
stratiotes-lat,телорез,,,hard
strawberry,галæрыскъæф,,,simple
sugar beet,сæкæры цæхæра,,,normal
sugar cane,сæкæры хъæз,,,normal
summer-and-winter radish,булкъ,,,simple
sunflower,хурмæзил,,,simple
tamarisk,ехсхъæд,,,hard
tangerine,мандарин,,,simple
tansy,пижма,,,hard
thistle,хæрæгсындз,,,normal
tomato,пъæмидор,,,simple
touch-me-not,хъусцæг,,,hard
tulip,тюльпан,,,simple
tutsan,цæвæгхос,,,normal
valerian,цъæнуд,,,hard
viburnum,мыртгæ,,,normal
violet,æрвдзæст,,,simple
viscaria vulgaris,хуымæтæджы смолкæ,,,hard
walnut,æнгуз,,,simple
watermelon,харбыз,,,simple
weeping willow,донхæрис,,,normal
wheat,мæнæу,,,simple
white boletus,урс зокъо,,,normal
wild leek,скъуда,,,normal
wild oats,згъæллаг,,,normal
willow,хæрис,,,simple
woodruff,ясменник,,,hard
wormwood,скъæлдзой,,,normal
yew,заз,,,normal
